,District,Code,Date_Of_Formation,Split_From,Area,Population,Population_Density,Taluks,Latitude,Longitude
0,Ariyalur,AR,23 November 2007,Perambalur,1949.31,754894,390,"['Andimadam', 'Ariyalur', 'Udayarpalayam', 'Sendurai']",11.076035950000001,79.11745538182738
1,Chengalpattu,CGL,29 November 2019,Kanchipuram,2944.96,2556244,868,"['Chengalpattu', 'Cheyyur', 'Madurantakam', 'Pallavaram', 'Tambaram', 'Thiruporur', 'Thirukazhukundram', 'Vandalur']",12.6840886,79.9836371
2,Chennai,CH,1 November 1956,"One of the original 13 districts (under former name of ""Madras District"")",426.0,4646732,26076,"['Alandur', 'Ambattur', 'Aminjikarai', 'Ayanavaram', 'Egmore', 'Guindy', 'Madhavaram', 'Maduravoyal', 'Mambalam', 'Mylapore', 'Perambur', 'Purasawalkam', 'Sholinganallur', 'Tiruvottiyur', 'Tondiarpet', 'Velachery']",13.0836939,80.270186
3,Coimbatore,CO,1 November 1956,One of the original 13 districts,4723.0,3458045,732,"['Anaimalai', 'Annur', 'Coimbatore-North', 'Coimbatore-South', 'Kinathukadavu', 'Madukkarai', 'Mettupalayam', 'Perur', 'Pollachi', 'Sulur', 'Valparai']",11.0018115,76.9628425
4,Cuddalore,CU,30 September 1993,South Arcot District,3678.0,2605914,709,"['Bhuvanagiri', 'Chidambaram', 'Cuddalore', 'Kattumannarkoil', 'Kurinjipadi', 'Panruti', 'Srimushnam', 'Titakudi', 'Veppur', 'Vriddachalam']",11.7564329,79.7634644
5,Dharmapuri,DH,2 October 1965,Salem,4497.77,1506843,335,"['Dharmapuri', 'Harur', 'Karimangalam', 'Nallampalli', 'Palacode', 'Pappireddipatti', 'Pennagaram']",12.09680475,78.19304301026716
6,Dindigul,DI,15 September 1985,Madurai,6266.64,2159775,345,"['Athoor', 'Dindigul-West', 'Dindigul-East', 'Gujiliamparai', 'Kodaikanal', 'Natham', 'Nilakottai', 'Oddanchattiram', 'Palani', 'Vedasandur']",10.3303299,78.0673979084697
7,Erode,ER,31 August 1979,Coimbatore,8161.91,2251744,394,"['Anthiyur', 'Bhavani', 'Erode', 'Gobichettipalayam', 'Kodumudi', 'Modakurichi', 'Nambiyur', 'Perundurai', 'Sathyamangalam', 'Thalavadi']",11.369204400000001,77.67662686841793
8,Kallakurichi,KL,26 November 2019,Viluppuram,3520.37,1370281,389,"['Chinnasalem', 'Kallakkurichi', 'Kalvarayan', 'Hills', 'Sankarapuram', 'Thirukoilur', 'Ulundurpet']",11.7380142,78.963933
9,Kanchipuram,KC,1 July 1997,Chingleput,1655.94,1166401,704,"['Kanchipuram', 'Kundrathur', 'Sriperumbudur', 'Uthiramerur', 'Walajabad']",12.836393,79.7053304
10,Kanniyakumari,KK,1 November 1956,One of the original 13 districts (transferred from Travancore-Cochin),1672.0,1870374,1119,"['Agastheeswaram', 'Kalkulam', 'Killiyur', 'Vilavancode', 'Thiruvattar', 'Thovalai']",8.0879641,77.5467414
11,Karur,KR,30 September 1995,Tiruchirappalli,2895.57,1064493,357,"['Aravakurichi', 'Kadavur', 'Karur', 'Krishnarayapuram', 'Kulithalai', 'Manmangalam', 'Pugalur']",10.9301522,78.08485454572889
12,Krishnagiri,KR,9 February 2004,Dharmapuri,5143.0,1879809,366,"['Anchetty', 'Bargur', 'Denkanikottai', 'Krishnagiri', 'Hosur', 'Pochampalli', 'Shoolagiri', 'Uthangarai']",12.5188835,78.2206536
13,Madurai,MDU,1 November 1956,One of the original 13 districts,3741.73,3038252,812,"['Madurai-East', 'Madurai-North', 'Madurai-South', 'Madurai-West', 'Kallikudi', 'Melur', 'Peraiyur', 'Thirumangalam', 'Thirupparankundram', 'Usilampatti', 'Vadipatti']",9.9261153,78.1140983
14,Mayiladuthurai,MYD,28 December 2020,Nagapattinam,1172.0,918356,784,"['Kuthalam', 'Mayiladuthurai', 'Sirkazhi', 'Tharangambadi']",11.155182199999999,79.62739425974078
15,Nagapattinam,NG,18 October 1991,Thanjavur,1397.0,697069,498,"['Kilvelur', 'Nagapattinam', 'Thirukkuvalai', 'Vedaranyam']",10.805627600000001,79.824659783024
16,Namakkal,NM,1 January 1997,Salem,3363.0,1726601,513,"['Kollimalai', 'Kumarapalayam', 'Mohanur', 'Namakkal', 'Paramathi-Velur', 'Rasipuram', 'Sendamangalam', 'Thiruchengode']",11.284224850000001,78.16615283668403
17,Nilgiris,NI,1 November 1956,One of the original 13 districts,2452.5,735394,300,"['Coonoor', 'Gudalur', 'Kotagiri', 'Kundah', 'Pandalur', 'Udagamandalam']",11.4,76.7
18,Perambalur,PE,30 September 1995,Tiruchirappalli,1752.0,565223,320,"['Alathur', 'Kunnam', 'Perambalur', 'Veppanthattai']",11.2287716,78.8182555496278
19,Pudukkottai,PU,14 January 1974,Thanjavur and Tiruchirappalli,4663.0,1618345,347,"['Alangudi', 'Aranthangi', 'Avadaiyarkoil', 'Gandarvakottai', 'Illuppur', 'Karambakkudi', 'Kulathur', 'Manamelkudi', 'Ponnamaravathi', 'Pudukkottai', 'Thirumayam', 'Viralimalai']",10.5,78.833333
20,Ramanathapuram,RA,1 November 1956,One of the original 13 districts,4089.57,1353445,331,"['Kadaladi', 'Kamuthi', 'Kilakarai', 'Mudukulathur', 'Paramakudi', 'Raja', 'Singa', 'Mangalam', 'Ramanathapuram', 'Rameswaram', 'Tiruvadanai']",9.8437068,79.0739672
21,Ranipet,RN,28 November 2019,Vellore,2234.32,1210277,542,"['Arakkonam', 'Arcot', 'Kalavai', 'Nemili', 'Sholingur', 'Walajapet']",12.9272641,79.3330076
