,District,Population,Population_Density,Taluks,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1,Chengalpattu,2556244,868,"['Chengalpattu', 'Cheyyur', 'Madurantakam', 'Pallavaram', 'Tambaram', 'Thiruporur', 'Thirukazhukundram', 'Vandalur']",12.6840886,79.9836371,3,Light Rail Station,Train Station,Movie Theater,Toll Booth,Bus Station,Lake,Women's Store,Convenience Store,Cosmetics Shop,Costume Shop
2,Chennai,4646732,26076,"['Alandur', 'Ambattur', 'Aminjikarai', 'Ayanavaram', 'Egmore', 'Guindy', 'Madhavaram', 'Maduravoyal', 'Mambalam', 'Mylapore', 'Perambur', 'Purasawalkam', 'Sholinganallur', 'Tiruvottiyur', 'Tondiarpet', 'Velachery']",13.0836939,80.270186,3,Indian Restaurant,Hotel,Café,Ice Cream Shop,Fast Food Restaurant,Sandwich Place,Multiplex,Vegetarian / Vegan Restaurant,Italian Restaurant,Beach
3,Coimbatore,3458045,732,"['Anaimalai', 'Annur', 'Coimbatore-North', 'Coimbatore-South', 'Kinathukadavu', 'Madukkarai', 'Mettupalayam', 'Perur', 'Pollachi', 'Sulur', 'Valparai']",11.0018115,76.9628425,3,Indian Restaurant,Clothing Store,Ice Cream Shop,Asian Restaurant,Multiplex,Vegetarian / Vegan Restaurant,Café,Hotel,Dessert Shop,Pizza Place
4,Cuddalore,2605914,709,"['Bhuvanagiri', 'Chidambaram', 'Cuddalore', 'Kattumannarkoil', 'Kurinjipadi', 'Panruti', 'Srimushnam', 'Titakudi', 'Veppur', 'Vriddachalam']",11.7564329,79.7634644,3,Movie Theater,Beach,Vegetarian / Vegan Restaurant,Department Store,Women's Store,Electronics Store,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground
7,Erode,2251744,394,"['Anthiyur', 'Bhavani', 'Erode', 'Gobichettipalayam', 'Kodumudi', 'Modakurichi', 'Nambiyur', 'Perundurai', 'Sathyamangalam', 'Thalavadi']",11.369204400000001,77.67662686841793,3,Clothing Store,Pizza Place,Food & Drink Shop,Outdoors & Recreation,Diner,Comfort Food Restaurant,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop
8,Kallakurichi,1370281,389,"['Chinnasalem', 'Kallakkurichi', 'Kalvarayan', 'Hills', 'Sankarapuram', 'Thirukoilur', 'Ulundurpet']",11.7380142,78.963933,3,ATM,Toll Plaza,Indian Restaurant,Restaurant,Bus Station,Electronics Store,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground
10,Kanniyakumari,1870374,1119,"['Agastheeswaram', 'Kalkulam', 'Killiyur', 'Vilavancode', 'Thiruvattar', 'Thovalai']",8.0879641,77.5467414,3,Historic Site,Beach,Sculpture Garden,Resort,Castle,Indian Restaurant,Scenic Lookout,Hotel,Asian Restaurant,Arcade
11,Karur,1064493,357,"['Aravakurichi', 'Kadavur', 'Karur', 'Krishnarayapuram', 'Kulithalai', 'Manmangalam', 'Pugalur']",10.9301522,78.08485454572889,3,Train Station,Hotel,Ice Cream Shop,Food,Bus Station,Women's Store,Electronics Store,Convenience Store,Cosmetics Shop,Costume Shop
15,Nagapattinam,697069,498,"['Kilvelur', 'Nagapattinam', 'Thirukkuvalai', 'Vedaranyam']",10.805627600000001,79.824659783024,3,ATM,Pharmacy,Cosmetics Shop,Bus Station,Skating Rink,Coffee Shop,Concert Hall,Convenience Store,Costume Shop,Cricket Ground
17,Nilgiris,735394,300,"['Coonoor', 'Gudalur', 'Kotagiri', 'Kundah', 'Pandalur', 'Udagamandalam']",11.4,76.7,3,Hotel,Resort,Indian Restaurant,Vegetarian / Vegan Restaurant,Café,Mountain,Coffee Shop,Garden,Train Station,Hyderabadi Restaurant
